category,subCategory,petType,nameJa,nameEn,descriptionJa,descriptionEn,productLink,image,price
Treats,Small dogs,Dog,【あす宅】【セット販売】グリニーズプラス 口臭ケア 超小型犬用 30本入×2コ,"[Next-day delivery available] [Set sale] Greenies Plus Bad Breath Care for Extra Small Dogs, 30 pieces x 2","歯に配慮したやわらかさ
しっかり食い込んで歯垢を落とす※噛むことにより
1日1本噛んで、歯垢と口臭をしっかりケア！
楽しく噛めるやわらかさとおいしさだから、オーラルケアが、毎日したくなる触れ合いと笑顔の時間に。
本製品を直接手で持って、左右の奥歯を中心に愛犬によく噛ませてあげてください。
特に口臭が気になる愛犬のために爽やかな香りのフレッシュミント入り

【 原材料 】
小麦粉、小麦タンパク、ゼラチン（豚由来）、セルロース、タンパク加水分解物、スペアミント、グリセリン、レシチン、ペパーミントフレーバー、ビタミン類（A、B1、B2、B6、B12、D3、E、コリン、ナイアシン、パントテン酸、ビオチン、葉酸）、ミネラル類（カリウム、カルシウム、クロライド、セレン、マグネシウム、マンガン、ヨウ素、リン、亜鉛、鉄、銅）、着色料（スイカ色素、ゲニパ色素、ウコン色素）
【 保証分析値 】
タンパク質：30.0％以上、脂質：5.5％以上、粗繊維：6.0％以下、灰分：6.0％以下、水分：5.0％以下
【 代謝エネルギー 】
26kcal/本
【 メーカー名 】
マースジャパン","Soft and gentle on teeth ,
these chewing toys effectively remove plaque.
Chewing just one a day helps to thoroughly care for plaque and bad breath! The
soft and tasty texture makes oral care a fun and enjoyable experience, turning daily oral care into a time of bonding and smiles.
Hold the product directly in your hand and let your dog chew on it, focusing on the molars on both sides.
For dogs with particularly bad breath, we offer a refreshing fresh mint flavor.

[Ingredients]
Wheat flour, wheat protein, gelatin (derived from pork), cellulose, protein hydrolysate, spearmint, glycerin, lecithin, peppermint flavor, vitamins (A, B1, B2, B6, B12, D3, E, choline, niacin, pantothenic acid, biotin, folic acid), minerals (potassium, calcium, chloride, selenium, magnesium, manganese, iodine, phosphorus, zinc, iron, copper), coloring agents (watermelon pigment, genipa pigment, turmeric pigment)
[Guaranteed Analysis Value]
Protein: 30.0% or more, Fat: 5.5% or more, Crude Fiber: 6.0% or less, Ash: 6.0% or less, Moisture: 5.0% or less
[Metabolic Energy]
26kcal/piece
[Manufacturer Name]
Mars Japan",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=51788055&cat=020022,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776704346/51788055_LL_xffum9.jpg,"¥5,218(税込)"
Treats,Small dogs,Dog,かわいくたべちゃう！ ササミ 7本入,Cute and delicious! Chicken breast fillets (7 pieces),"低脂肪な鶏ササミを持って食べやすいロール形状に仕上げました！
ササミそのまま100％使用（※使用肉原料として）。
着色料・保存料・発色剤・食塩 不使用。
農林水産省認定 鳥加熱処理工場製造。

【 原材料 】
鶏ササミ、グリセリン
【 保証分析値 】
たん白質：64.0％以上、脂質：4.0％以上、粗繊維：0.5％以下、灰分：6.0％以下、水分：18.0％以下
【 代謝エネルギー 】
348kcal/100g
【 原産国 】
中国
【 メーカー名 】
ペティオ","We've created a roll shape that's easy to hold and eat, using low-fat chicken breast!
Made with 100% whole chicken breast (as the raw meat ingredient).
No artificial colors, preservatives, curing agents, or salt are used.
Manufactured in a poultry heat treatment plant certified by the Ministry of Agriculture, Forestry and Fisheries.

[Ingredients]
Chicken breast, glycerin
[Guaranteed Analysis Value]
Protein: 64.0% or more, Fat: 4.0% or more, Crude Fiber: 0.5% or less, Ash: 6.0% or less, Moisture: 18.0% or less
[Metabolic Energy]
348kcal/100g
【 country of origin 】
China
[Manufacturer Name]
Petio",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=09131561&cat=020032,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747660/09131561_LL_hyf3h5.jpg,¥298（税込）
Treats,Large dogs,Dog,ゴン太のカミング チューイングドーナツ 8個,Gonta's Coming Chewing Donuts (8 pieces),"無添加※だから安心。100％天然素材だけを使用した牛皮ガム。
天然の鶏ササミと牛皮を使用した無添加のガムです。
ワンちゃんの大好きな鶏ササミを牛皮全体にコーティングしているので、最後まで飽きずにしっかり食べられます。
噛むことで歯と歯ぐきの健康維持やストレス解消に役立ち、夢中になって噛む姿も楽しめるスナックです。
※保存料、酸化防止剤、発色剤、着色料は使用していません。
【 原材料 】肉類（牛皮、鶏ササミ）、穀類（米ペースト）【 保証分析値 】たん白質：45.0％以上、脂質：0.6％以上、粗繊維：2.1％以下、灰分：3.9％以下、水分：16.0％以下【 代謝エネルギー 】300kcal/100g【 原産国 】中国【 製造日からの賞味期限 】18ヶ月【 メーカー名 】サンライズ","Additive-free* for peace of mind. 100% natural rawhide chew.
This additive-free chew uses natural chicken breast and rawhide. The
entire rawhide is coated with chicken breast, a favorite of dogs, so they can enjoy it to the very last bite.
Chewing helps maintain healthy teeth and gums and relieves stress, and it's a snack that you can enjoy watching your dog engrossed in chewing.
*No preservatives, antioxidants, colorants, or artificial colors are used.

[Ingredients]
Meat (beef hide, chicken breast), grains (rice paste)
[Guaranteed Analysis Value]
Protein: 45.0% or more, Fat: 0.6% or more, Crude Fiber: 2.1% or less, Ash: 3.9% or less, Moisture: 16.0% or less
[Metabolic Energy]
300kcal/100g
【 country of origin 】
China
[Expiration date from the date of manufacture]
18 months
[Manufacturer Name]
Sunrise",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=09947834&cat=020022,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776746632/09947834_LL_fibd6z.jpg,¥498(税込)
Treats,Large dogs,Dog,【セット販売】ゴン太のおすすめササミジャーキー 75枚×2コ,[Set Sale] Gonta's Recommended Chicken Jerky 75 pieces x 2,"鶏肉の中でも特に低脂肪な鶏ササミを、素材の旨みを引き出すよう調理した嗜好性の高いスナックです。
手軽に与えられるので、おやつやしつけのごほうびにおすすめです。

【 原材料 】
肉類（鶏ササミ等）、でん粉類、豆類、糖類、増粘安定剤（ソルビトール、グァーガム）、ミネラル類（塩化ナトリウム）、pH調整剤、保存料（ソルビン酸カリウム、デヒドロ酢酸ナトリウム
【 保証分析値 】
たん白質：41.0％以上、脂質：0.9％以上、粗繊維：1.5％以下、灰分：8.0％以下、水分：14.0％以下
【 原産国 】
中国
【 製造日からの賞味期限 】
18ヶ月
【 メーカー名 】
サンライズ","This highly palatable snack is made from chicken breast, which is particularly low in fat, and is prepared to bring out the delicious flavor of the ingredients.
It's easy to give, making it ideal as a treat or reward during training.

[Ingredients]
Meat (chicken breast, etc.), starches, legumes, sugars, thickeners and stabilizers (sorbitol, guar gum), minerals (sodium chloride), pH adjusters, preservatives (potassium sorbate, sodium dehydroacetate)
[Guaranteed Analysis Value]
Protein: 41.0% or more, Fat: 0.9% or more, Crude Fiber: 1.5% or less, Ash: 8.0% or less, Moisture: 14.0% or less
【 country of origin 】
China
[Expiration date from the date of manufacture]
18 months
[Manufacturer Name]
Sunrise",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=51932625&cat=020032,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747718/51932625_LL_ddaifg.jpg,"¥1,920（税込）"
Treats,Cats,Cat,AIM30 カツオの削り節 12g,AIM30 Dried Bonito Flakes 12g,"食べやすいように細かく削ったフレークタイプ。
そのまま食べてもフードにふりかけてもお与えいただけます。
健康で元気な毎日をサポート。

【 原材料 】
かつお節 、アミノ酸類 （シスチン、メチオニン、タウリン）
【 保証分析値 】
たん白質：60.0％以上、脂質：7.0％以上、粗繊維：0.5％以下、灰分：10.5％以下、水分：20.0％以下
【 代謝エネルギー 】
323kcal/100g
【 原産国 】
日本
【 製造日からの賞味期限 】
12ヶ月
【 メーカー名 】
サンライズ","Finely shaved flakes for easy consumption.
Can be given as is or sprinkled on food.
Supports a healthy and energetic daily life.

[Ingredients]
Dried bonito flakes, amino acids (cystine, methionine, taurine)
[Guaranteed Analysis Value]
Protein: 60.0% or more, Fat: 7.0% or more, Crude Fiber: 0.5% or less, Ash: 10.5% or less, Moisture: 20.0% or less
[Metabolic Energy]
323kcal/100g
【 country of origin 】
Japan
[Expiration date from the date of manufacture]
12 months
[Manufacturer Name]
Sunrise",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=09945458&cat=027075,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776746706/09945458_LL_czraqm.jpg,¥248（税込）
Treats,Cats,Cat,【セット販売】ねこふり かつお味 15g×3コ,[Set of 3] Nekofuri Bonito Flavor 15g x 3,"３種類のかつおぶし～味付けかつおぶし、かつお粉、ソフト削りを混ぜ合わせた風味豊かな「ふりかけ」に仕上げました。
猫ちゃんの健康に配慮して、オリゴ糖を配合しました。

【 原材料 】
かつおぶし、ガラクトオリゴ糖、のり
【 保証分析値 】
たんぱく質：69％以上、脂質：5％以上、粗繊維：0.5％以下、灰分：6％以下、水分：9％以下
【 原産国 】
日本
【 製造日からの賞味期限 】
18ヶ月
【 メーカー名 】
はごろもフーズ","We've created a flavorful furikake (rice seasoning) by blending three types of bonito flakes: seasoned bonito flakes, bonito powder, and soft shavings. We
've also added oligosaccharides to support your cat's health.

[Ingredients]
Dried bonito flakes, galactooligosaccharides, seaweed
[Guaranteed Analysis Value]
Protein: 69% or more, Fat: 5% or more, Crude Fiber: 0.5% or less, Ash: 6% or less, Moisture: 9% or less
【 country of origin 】
Japan
[Expiration date from the date of manufacture]
18 months
[Manufacturer Name]
Hagoromo Foods",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=51606882&cat=027075,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747773/51606882_LL_v9qdes.jpg,在庫がありません。
Toys,Cats,Cat,猫ちゃん歯ブラシ かみかみ歯ピカ,"Cat toothbrush, chewable teeth polish","遊んで楽しく歯磨きができる猫ちゃん歯ブラシ！噛むことで、繊維が歯垢をこすり取ります。
・遊んで楽しく歯みがき。
・歯がネットに食い込み、噛むことで繊維が歯垢をこすり取ります。
・またたびを使うとかみかみ効果UP！
・猫ちゃんが噛みやすいスティック型。

【 メーカー名 】
ドギーマンハヤシ","A cat toothbrush that makes brushing teeth fun while playing! The fibers scrub away plaque as your cat chews.
• Makes brushing teeth fun while playing.
• The teeth get caught in the net, and the fibers scrub away plaque as your cat chews.
• Using catnip enhances the chewing effect!
• Stick shape that's easy for cats to chew.

[Manufacturer Name]
DoggyMan Hayashi",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=16845112&cat=002089,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776746932/16845112_LL_qrq4qe.jpg,¥493(税込)
Toys,Cats,Cat,じゃれ猫 電動めちゃくちゃ遊び,"Playful cat electric toy, it's so much fun","天然羽根使用で狩猟本能を刺激、どこでも遊べる！
・各面に複数の穴が開いた箱の中で、鳥の羽根が右回り・左回りをランダムに繰り返すおもちゃ。
・乾電池式でどこでも遊べます。
・自動センサー付き※3分放置するとスリープします。

【 材質・成分・素材など 】
ダンボール、ABS樹脂、鳥の羽根
【 製造国 】
中国
【 サイズ 】
約W20×D20×H6cm
【 メーカー名 】
ドギーマンハヤシ","Made with natural feathers to stimulate hunting instincts, this toy can be played with anywhere!
• A box with multiple holes on each side, where bird feathers randomly rotate clockwise and counterclockwise.
• Battery operated for play anywhere.
• Features an automatic sensor (it goes to sleep after 3 minutes of inactivity).

[Materials, ingredients, etc.]
Cardboard, ABS resin, bird feathers
[Country of manufacture]
China
【 size 】
Approximately W20×D20×H6cm
[Manufacturer Name]
DoggyMan Hayashi",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=16845761&cat=002089,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776748095/16845761_LL_apiru5.jpg,"¥1,628(税込)"
Toys,Dogs,Dog,チューデント 歯みがきおもちゃ ボーン ソフトタイプ S ミルクフレーバー,Chudent Toothbrushing Toy Bone Soft Type S Milk Flavor,"シニア犬や噛む力の弱い愛犬向けのソフトタイプです。
内側がやわらかめのラバー素材で程よく噛めます。
持ちやすくて噛みやすい骨型で、おいしいミルクフレーバー付き！

【 材質・成分・素材など 】
ナイロン、TPR、香料
【 適応ペットのサイズ 】
3～6kg
【 製品重量 】
55g
【 製造国 】
中国
【 サイズ 】
W3.0×D2.4×H10.0cm
【 メーカー名 】
ハーツ","This soft toy is perfect for senior dogs or those with weaker chewing abilities. The
soft rubber interior provides just the right amount of chewing power.
Its bone shape is easy to hold and chew, and it comes in a delicious milk flavor!

[Materials, ingredients, etc.]
Nylon, TPR, fragrance
[Suitable pet size]
3-6 kg
[Product weight]
55g
[Country of manufacture]
China
【 size 】
W3.0 × D2.4 × H10.0cm
[Manufacturer Name]
Hearts",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=16054208&cat=002085,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747002/16054208_LL_cplvs4.jpg,¥968(税込)
Toys,Dogs,Dog,カムガムアミーバー ダンベル S,Kamgam Amiba Dumbbell S,"・グネグネゆがむ、面白い噛みごたえを楽しめます。ボールが苦手な愛犬でもくわえやすいアイテムです。
・アミ目のすき間からおやつを入れれば、トリーツ玩具としても楽しむことができます。
・真ん中をくわえたり、両前足でつかんで噛んだり、転がして追いかけたりと、いろんな遊びが楽しめます。
・天然ゴムを使用した安全素材で製造しています。

【 適応ペットのサイズ 】
超小～小型犬用
【 メーカー名 】
ドギーマンハヤシ","- It bends and twists, providing a fun and satisfying chewing experience. It's an easy-to-hold item even for dogs that don't like balls.
- You can also use it as a treat toy by putting treats through the mesh. - Dogs
can enjoy various forms of play, such as holding it in the middle, gripping it with both front paws and chewing on it, or rolling it around and chasing it.
- Made from safe materials using natural rubber.

[Suitable pet size]
For very small to small dogs
[Manufacturer Name]
DoggyMan Hayashi",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=16851335&cat=002085,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776748197/16851335_LL_swmnr2.jpg,在庫がありません。
Other,Dog toilet (main unit),Dog,【あす宅】デオシート 消臭ラボ 本体セット レギュラー,[Next-day delivery] Deodorizing Sheet Deodorizing Lab Main Unit Set Regular,"抗菌ドライフィルターと強力吸収・消臭マットの2層構造で3日間交換無しでもニオわない犬用トイレシステムです。
マットは3日に1回、フィルターは1週間に1回の交換でOK。
※レギュラーは愛犬一頭（体重4kg以下）の尿吸収時。ウンチをした場合は早く取り除いてください。

【 製造国 】
日本
【 メーカー名 】
ユニ・チャーム","This dog toilet system features a two-layer structure with an antibacterial dry filter and a powerful absorbent/deodorizing mat, ensuring no odor even after 3 days without changing.
The mat only needs to be changed every 3 days, and the filter once a week.
*Regular size is for absorbing urine from one dog (weighing 4kg or less). Please remove feces promptly.

[Country of manufacture]
Japan
[Manufacturer Name]
Unicharm",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=20679142&cat=023071,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747054/20679142_LL_fvy4gl.jpg,"¥2,480（税込）"
Other,Dog toilet (main unit),Dog,【あす宅】デオシート 消臭ラボ 本体セット ワイド,[Next-day delivery] Deodorizing Sheet Deodorizing Lab Main Unit Set Wide,"抗菌ドライフィルターと強力吸収・消臭マットの2層構造で3日間交換無しでもニオわない犬用トイレシステムです。
マットは3日に1回、フィルターは1週間に1回の交換でOK。
※ワイドは愛犬一頭（体重10kg以下）の尿吸収時。ウンチをした場合は早く取り除いてください。

【 製造国 】
日本
【 メーカー名 】
ユニ・チャーム","This dog toilet system features a two-layer structure with an antibacterial dry filter and a powerful absorbent/deodorizing mat, ensuring no odor for three days without changing.
The mat only needs to be changed every three days, and the filter once a week.
*The wide size is for absorbing urine from one dog (weighing 10kg or less). Please remove feces promptly.

[Country of manufacture]
Japan
[Manufacturer Name]
Unicharm",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=20681060&cat=023071,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776748255/20681060_LL_p3hsmu.jpg,"¥3,980（税込）"
Other,Cat litter box (main unit),Cat,【あす宅】デオトイレ らくらくシンプル 本体セット ライトブラウン,[Next-day delivery] DeoToilet Easy Simple Main Unit Set Light Brown,"・1週間ずっと、ニオイこもらない ※1
・上層は撥水サンドだから、サンド表面にオシッコ汚れを残さない構造 ※2
・下層は銀イオン配合シートで、ニオイ菌99.9％抑制 ※3
・シートは週1回、サンドは月1回交換でお手入れカンタン ※1
・カバーのないシンプル構造で、新しいトイレでも猫らくらく安心
・省パーツ設計で、丸洗いらくらく！
※1.愛猫1頭（体重8kgまで）のデオトイレ使用時。ウンチをした場合は早く取り除いてください
※2.オシッコ汚れとはサンド表面に残ったオシッコ液のこと
※3.ニオイ菌とは尿からアンモニアを発生させやすい菌のこと。第三者機関による抗菌性試験結果。すべての菌を抑制するわけではありません

【 材質・成分・素材など 】
【猫の室内用トイレ】材質：ポリプロピレン【猫の室内トイレ用砂】主な素材：ゼオライト【猫の室内トイレ用シート】主な素材：ポリオレフィン・ポリエステル不織布、綿状パルプ、吸水紙、高分子吸水材、ポリエチレンフィルム、抗菌剤、ホットメルト接着剤、香料入りマイクロカプセル
【 メーカー名 】
ユニ・チャーム","・Odor-free for a whole week *1
・The top layer is water-repellent sand, so it doesn't leave urine stains on the sand surface *2
・The bottom layer is a silver ion-infused sheet that suppresses 99.9% of odor-causing bacteria *3
・Easy maintenance: replace the sheet once a week and the sand once a month *1
・Simple structure without a cover, making it easy and safe for cats even in new litter boxes
・Minimal parts design for easy washing!
*1. When using the Deotoilet with one cat (up to 8kg). Remove feces as soon as possible
*2. Urine stains refer to urine liquid remaining on the sand surface
*3. Odor-causing bacteria refer to bacteria that easily produce ammonia from urine. Results of antibacterial testing by a third-party organization. Does not suppress all bacteria.

[Materials, ingredients, etc.]
[Indoor cat litter box] Material: Polypropylene [Indoor cat litter] Main material: Zeolite [Indoor cat litter liner] Main material: Polyolefin/polyester nonwoven fabric, cotton pulp, absorbent paper, superabsorbent polymer, polyethylene film, antibacterial agent, hot melt adhesive, fragrance-infused microcapsules
[Manufacturer Name]
Unicharm",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=20664827&cat=030071,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747135/20664827_LL_pmw45j.jpg,"¥1,780（税込）"
Other,Cat litter box (main unit),Cat,【あす宅】デオトイレ 脱臭ファン+ 本体セット,[Next-day delivery] Deodorizing toilet deodorizing fan + main unit set,"・したてウンチもニオわない
・高密度活性炭フィルターつきファンでニオイを吸引
・ニオイ広げずウンチ臭99％除去
・猫ちゃん安心の静音モード搭載

【 製造国 】
日本
【 付属品 】
本体1台（スコップ、電源アダプター）、専用取替フィルター1枚、電源コード保護カバー1個、消臭抗菌シート4枚、消臭抗菌サンド2L、取扱説明書1部
【 メーカー名 】
ユニ・チャーム","- Even fresh poop doesn't smell.
- High-density activated carbon filter fan sucks up odors
. - Removes 99% of poop odor without spreading it.
- Features a quiet mode for your cat's peace of mind.

[Country of manufacture]
Japan
【 accessories 】
The package includes: 1 main unit (with scoop and power adapter), 1 replacement filter, 1 power cord protective cover, 4 deodorizing and antibacterial sheets, 2L of deodorizing and antibacterial sand, and 1 instruction manual.
[Manufacturer Name]
Unicharm",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=20678749&cat=030071,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776748350/20678749_LL_lb23lv.jpg,"¥16,800（税込）"